stenogram,large-v2,medium,small
Тоа е инвестиција од 11 милиони евра.,Тоа е инвестиција од 11 милиони евра.,"Изграден капитален објект, Киприлепската касана тоа е инвестиција од 11 милиони евро",инвестиција од 11 млн. евро.
"Реконструиран е патот кој води до Прилепското езеро, локалната самоуправа со претходниот градоначалник на СДСМ изгради спортско рекреативен комплекс со бројни содржини за сите генерации, инвестиција од околу 800 илјади евра.","Реконструирани патот кој води до Прилепското езеро, локална самоуправа со предходниот градашен лик на СРСМ, изгради спортско-рекреативен комплекс, оброни и содржини за сите генерации. Инвестиција од околу 800.000 евра.",Реконструијани патот који води до Пилепското езеро локал самуправа со прескромниот гражалник на Срсама изграден испорско-экатеративен комплек со оброни содержини за сите генерации инвестиција од около 800 милиони евро,"Реконструјан епатот, који води до пелепцката озеро, локајат саму права со предхонда до гража лекна среса ма, изгради спорцко-ректоативен комплекс, оброни со држини за сите генерации инвестиција од около 800 млн. евро."
"Се реконструира и патот за Мариово, за прв пат откако е изграден реконструирани се 15 километри од овој пат со вредност од 1 милион евра, средства од Владата.","Се реконструија патот за Марио, за прв патот како е изграден. Реконструирани се 15 км од овој пат, сувереност од 1 милион евра, стрес на луѓето.",Се реконструија патот за Марио за първ патот како ја изграден Реконструија се 15 км од овој пат,"Се реконструјае патот за Марио, за пърпатот, која е изграден. Реконструјае се 15 км. од овој пат со времно 101 млн. евро. Среса од дваата."
"Се асфалтираше патот до манастирот Свети Никола во Прилеп, Прилепец во должина од пет и пол километри.","Се асфалтираше патот до манастирот Свети Никола во Прилепец, во должина од 5,5 км.","се асфальтираќе патот до Манастрија од Свети Николао во Прилепец, од овој патот за 5,5 км","Се освоздираше патот до Манастиро Свети Никола во прелепец с водоќе од 5,5 км."
Тоа се средства од Владата каде што се овозможи полесен пристап до нашето светилиште.,"Тоа се средства од владата, каде ќе се овозможи полесен пристап до нашето светилище.","Тоа се средства од владата, каде што се овазможн полесен пристав до нашата осветилища","Тоа се средства од дваата, каде што се овој може полесен пристав до нашето светилище."
"Се реконструираше регионалниот пат Прилеп - Тополчани, Битола во должина од 15,5 километри со средства од Владата.","Се реконструираше регионалниот пат Прилепто-Почене Битове во должина од 15,5 км, со средства од владата.","Се реконструијаше регионалиот пат Прилепте полче Небитова, од овој патот за 15,5 км, со средства од владата","Се реконструјаше оригинале од пат прелепто, појатше не бито во водоќе од 15,5 км. Со средства од дваата."
Навистина може и многу да набројувам.,"На висти да можам многу да набројувам,",Нависни да може многу да набројувам,Се смеси да може многу да набројувам.
"Има многу заеднички проекти на локалната и централната власт, кои се реализираа во изминатиот период, проекти кои тешко ќе беа возможни да се реализираат без соработка помеѓу Владата, министерствата и локалните самоуправи.","има многу заеднички проекти на локалната и централната власт, кои се реализираат во изминатиот период. Проекти кои тешко ќе беа возможни да се реализираат без соработка помегу владата, министерствата и локалните самоправи.","има многу заједнишки проекти на локалата и централата влас кои се реализираат во изменитеот период Тоа што ќе беа воозможна да се реализираат без уработк помеги владата, Министерствата и локалните самоправи","Има многу зајнешки проекти на локалата и централната власт, који се реализират во изменатеот период проекти, који тешко ке бе воозможно да се реализират без уработка помеги влаата, министерствата и локалите самоправи."
Поддршката од централната власт и нејзините органи не изостанува ниту сега кога градоначалник е од страна на ВМРО-ДПМНЕ и коалицијата.,"Подршкатот од централната власт и незините органи не изостанува нитос сега, кога градоначелникот е од страна на ВМРО ДПМН и Коалицијата.","Поддршката од централата власт и незимите орган не изостанува нито сега, која градоначалник е устрада на ВМРД и коалицијата","Подршката от централната власт и незивите органи не изостанува нито сега, која граначаваника и острана вомар од допомене и коалицијата."
"Но почитувани граѓани, имаме тотално неспособен градоначалник на општина Прилеп, којшто единствено како проект којшто го реализираше и единствено нешто коешто го направи е тоа што се сликаше со противпожарното возило коешто го доби од Владата.","Многу почетувани граѓани, имаме тотално неспособен градоначелник на Обштена Прилеп, кој единствено, како проект кој го реализираше, се сликаше со противпожарното возило кој го доби владата.","Наупочитувани грагани имаме тотално неспособен градоначалник на община Прилеп кој што единствено, како проект кој што го реализираше единствено нешто кој што го направи, а тоа ј се сликаше со против пожеланата возила, кој што го доби владата","Новопочитувани грегени. Има ме тотално неспособен гр earnestник наоште на Прилеп, којшто единств foolset, коју што го реализираш и единствено нешто којушто може што го направи, тоа им м peux paradoxった, са santéќа на мост material од како дунаци со острана влаата."
Буквално ништо не направи една година за Прилеп и Прилепчани.,Буквално ништо не направи една година за Прилеп и Прилепчани.,"Буквално ништо не направи, една година за Прилеп и Прилепчани",
Единствено што направи се сликаше со противпожарното возило коешто го доби како донација од страна на Владата.,Единствено што направи се сликаше со противпожарното возило кој го доби како донација од страна на владата.,"Единствено што направи, се сликаше со против пожеланата возила кој што го доби, како донација устрадана владата",
"Колку градоначалникот Борче Јовчевски од ВМРО-ДПМНЕ ги потцени и ја потценуваше интелигенцијата на Прилепчани е доказ тоа дека го присвои како сопствен проект, проектот за водоснабдување на Прилеп, кој што го обезбеди Владата на Социјалдемократскиот Сојуз на Македонија со средства од ТАВ Програмата.","Кога градоначелникот Борочевќенски од ВМРО ДПМН ги подцени и ја подценуваше интелигенцијата на Прилепчани, е доказ за тоа дека го присвои како собствен проект за водоснабдуваје на Прилеп, кој што го обезбеја владата на Социјал-демократскиот сојуз на Македонија со средства от ТАВ програмата","Колку градоначалникот, Борч Евчески од ВМРД Памане, ги подсени и ја подсенуваше интелегенцијат на Прилепчани, е доказ тоа дека го присво како собствен проектов за водоснабдуваје на Прилеп кој што го обезве од владата на СДС на Македонија сосреста од тав програмата","Ког'го гр earnestник од оборча оческ cuts, Ги подсени, ја подсенуваш интеллигенцијата на Прилепчани, ја доказ тоа дека го присвои како собствен проект, проекто за водост на бдува и на Прилеп, којшто го обезбеју лавата на социал демократској сојис на Македонија, сосредствал тав програмата"
"И, замислете, да биде хипокризијата поголема, таму на промоцијата донесе шпицниот градоначалник Христијан Мицковски, се сликаа со проектот од Владата на Социјалдемократскиот Сојуз на Македонија.","и замислев да биде хипокризијата по голема, таму на промоцијата донесе шпици од градоначелник Христијан Мицковски, се сликаше со проектот на Владата на Социјал-демократскиот Сојуз на Македонија,","и замислед, да биде хипокризијата поголема, таму на промоцијат донесе шпице од градоначалник Христијан Мицковски се сликае со проекто од владата на СДС на Македонија","и замислед да бие хипокризијата поволема, тамо на промоцијата донесе шпицијот грошани Христијан Митсковски, се сликајат со проектото лавата на социал демократској сојис на Македонија,"
Дури го излажа и Христијан Мицкоски дека тоа е негов проект.,дори го излежа и Христијан Мицковски дека тоа е негов проект.,дори го излажа и Христијан Мицковски дека тоа е негов проект,"дури гудађа и Христија Митсковски, дека тоа ја негов проект,"
Срамно и жално за Прилепчани.,Страмно и жално за Прилепчани.,Срамно и жално за Прилепчани,страмно и жално за Прилепчани.
"Зошто уште тој проект кој што е од исклучително битно значење за Прилеп и Прилепчани, се уште не е реализиран.","Зошто уште тој проект, кој што е од исклучително битно значење за Прилеп и Прилепчани, сега уште не е реализиран?","Зошто уште тој проект, кој што од изкочително обитно значени за Прилеп е Прилепчани, се уште не ја реализиран","Зашто јуште тој проект, којшто ју дискучително лобитно значање за Прилеп и Прилепчани, се јуште неја ја реализиран."
Локалната самоуправа имаше и градоначалникот обврска само да го продолжат и да го завршат за да заврши тој проект на почетокот на 2022 година.,"Локалната самоправа имаше градоначелникот Оврска, само да го проложат и да го завршат, за да завршат тој проект на почеток од 2022 година.",Локална самоуправа имаше градоначалникот овреска само да го провожат и да го завршат тој проек на почеток од 2022 година,"Локања самуправа имаш игранчалник от образка, само да го прожвете, којо завршат, завршат тој проект на почеток от 2022 година."
"Градоначалникот на Прилеп, должен е да одговори, зошто не се реализирани проектите со коишто Владата на Социјалдемократскиот Сојуз на Македонија ги обезбеди средствата и досега не ги реализирала.",Градоначелникот на Прилеп должен одговори зошто не се реализирани проектите со кои што Владата на Социјал-демократскиот Сојуз на Македонија ги обезбери средствата и до сега не ги реализира.,Градоначалникот на Прилеп доши одговори зошто не се реализирани проектите кои со кои што владата на СДС на Македонија ги обезбери средствата и до сега не ги реализират,"Гранчалник от на Прилеп дожи одговори, зашто не се реализиран и проектите, којо со којишто владата социал-демократска сојис на Македонија ќе ју безбери средствата и тој се га не ги реализиран."
"Прво, ќе набројам зошто еден милион евра се одделени од Владата, за изградба на 2 километри пат, улица во Прилеп не е се уште реализирана.","Прво ќе наборувам, зошто 1 милион евра одделени од ЛАА-т за изграба на 2 км пат улица во Прилеп, не е сега уште реализиран?","Прво ќе набројам, зошто 1 милион евра со делени од владат за изградба на 2 км пат улица во Приле не е сега уште реализирана","Провод ке наборам, зашто 1 милион евро со делени од влада за изградба на 2 километри пат улица, улица во Прилеп, не е се јуште реализиран."
Единствена обврска имаше само да направат урбанистичко решение и тоа не се способни да го реализираат.,Единствениот образ климаќ е само да направат урбанистичко решение и тоа не може да не се способни да го реализираат.,Единствена обраска имаше само да направа урбанистичко решение и тоа не може да не се способн да го реализират.,Едисто на образки имаше само да направат урбанистичко решение и тоа не може да не се способна да го реализират.
"Обезбедивме 100 илјади евра од Владата преку ТАВ програмата за манастирот Трескавец, односно за водоснабдување на манастирот Трескавец.","Не е обезберени се 100 000 евра од ЛАА-та преку тоа в програмата за Манастирот Трескавец, за водоснабдуваје на Манастирот Трескавец.",Неје обезберени се 100 000 евр од владата преку таѓ програмата за Манастирот Трескаве аното за водост на бдувај на Манастирот Трескавец,Не е обезбеден се 100 иляди евра од влада прекутав програмата за манастирот трескавец за водост на манастирот трескавец.
Манастирот Трескавец е од исклучително битно значење за Прилеп и Прилепчани.,Манастирот Трескавец е исклучително битно значенија за прилепчање.,Манастирот Трескавец е исключително обитно значени за Прилепчани,Манастирот трескавец е исключително битно значение за Прилеп Прилепчани.
Сто илјади евра од страна на Владата од Социјалдемократскиот Сојуз на Македонија се уште тоа не е завршено.,"100 000 евра од ЛАА на Сојуз на Македонија, сега уште тоа не е завршено.",100 000 евра остраа на владат на социал-демократското сојс на Македонија сега уште тоа не е завршено,"100 иляди евра од страна владата социал-демократска сојис на Македонија, се јуште тоја, тоа не е завршено."
"Триста илјади евра од страна на Владата се доделени на локалната самоуправа, за урбанизација за 30 населени места во општина Прилеп.",300 000 евра од ЛАА-та се одделени на локалната самоправа за урбанизација за 30 населени места во Обштена Прилеп.,300 000 евра остраа на владат се додели на локалната самоуправа за урбанизациј за 30 населени места во общата Прилеп,"300 иляди евра од страна влада се доделени на локалот за саму права, за урбанизација за 30 населени местата вообще на Прилеп."
"Ниту милиметар не е мрднато во тој дел, да се реализира, урбанизира на овие населени места за да можат да се изградат патна инфраструктура, водовод и канализација.","Ниту и милиметар не е мрднато во тој дел да се реализира урбанизирање на овие населени места за да можат да се изградат патна инфраструктура, водовод и канализација.","Нито милиметр не е мрнато во тој дел да се реализир урбанизиране на ове населени места, за да може да се изграда патна инфраструктура, водовод и канализација","Ни тој милиметр не е мрнато во тој дел да се реализира, урбанизира е нови населени места, за да може да се изградат патна инфраструктура водовот и канализација."
Одговор од ВМРО-ДПМНЕ и градоначалникот Јовчевски треба да добиеме за тоа зошто се уште не е пуштена во употреба новата детската градина во населбата Точила.,"Одговорот од двома роднопаме и од гранчалникот Јовчевски треба да добијаме за тоа, зошто сега уште не е пуштена во употреба новата детска градинка во населбата Тодшила.","Отговорот од двома Родопама и Гранчалникот и Овческ треба да добиеме за тоа, зашто сега уште не е пуштен новата децка градинка во населбата Точила","Орговор од воно родопом и гранчалник от Јовческиј, треба да добијеме за тоа, зашто сегуќе се не е пуштаву по краја новата детска градинка во населба Таточила."
"Претходната локална власт предводена од СДМС и градоначалникот Јовановски комплетно, буквално од нула, на празна локација, од темел изгради нова детска градинка, една од најмодерните и најубавите во нашата држава.","Предходната локална васпредодавна средства меѓу гранчалникот Јовановски комплетно, буквално мула, на празна локација, од темел, изгради нова детска градинка. Една од најмодерните и најубавите во нашата држава.","Пред коната локалната вас предоѓана Срдсам и Гранчалнико Јовановски комплетно, буквално онува на празна локациј од темел изгради нова децка градинка. Една од најмодерните и најубавите во нашата држава","Претхоната локама да спределаме на Срда само и гранчалник от Јовановскиј.       Комплетно, буквално муа на празда локация от темел изгради нова детска градинка. Едно нај модерните најубавите во нашата држава."
Благодарение на неспособноста на новата гарнитура од ВМРО-ДПМНЕ градинката се уште не е ставена во употреба.,Благодарение на неспособността на новата гранитура зашто градинка за сега уште не е ставена во употреба.,"Благодара је на неспособност на новата гранитура од двом Родопамана, градинка за се уште не е ставена во употреба","Благодарјави на неспособност на новата гранитура од воно родопомање, градинка за сегуќе не е ставена во употреба."
"За жал, реалност е таква.","За жал, реалността е таква.","За жал, реалността е таква",Зажал реалността е таква.
"Денес во Прилеп, ниту започнатите проекти од СДСМ не се завршуваат и пуштаат во употреба, а камоли да се започна нови.","Денес во Прилеп ниту започнатите проекти од СРД само не се завршуваат и пуштат во употреба, а камоли да се започнат нови.","Денија за Прилеп, нито з початите проекти од Срдсама не се завршуваат и пуштава во употреба, а камо ли да се започат нови","Дејрја за уприлепнито за початите проекти во Срда само не се завршуват и пуштават в употреба, а камоли да се започат нови."
"Сигурен сум дека, како што е случајот со Прилеп, така е со градоначалниците на ВМРО ДПМНЕ и низ целата држава.","Сигурен сум дека како што е случено со Прилеп, така и со гранчалниците на ВМ Роднопамене и на селата држава.","Сигурен сум, како што е случијат со Прилеп, така  са Гранчалниците на Вома Родопамана и селата држава","Сигуро е сум да како што е случаат со уприлеп, така е со гранчалниците на воно родопомање и на селата држава."
"Тотална катастрофа, фијаско од невидени размери.","Тотална катастрофа, јаско, од невидени размери.","Тотална катастрофа, фиаско, од невидени размери","Тотална катастрофа, јаско од невиден размери."
"Не само што немаат ниту еден реализиран проект, од илјадниците кои бесрамно им ги ветуваа на граѓаните, туку и оние кои ги наследија како започнати проекти од градоначалниците на СДСМ не можат ниту да ги дозавршат.","Не само што немаат нитојори реализиран проект, од идејанците кои бестрамно им гетуваат на регионите, туку и оние кои ги наследуваат како започнат и проекти од гранчалниците на СРД СМ, не можат нито да ги завршат.","Не само што нема нито једен реализиран проект Од илјанниците кои безтрамно им гетува на регијаните туку јонији кои ги наследи, како започатите проект од Гранчалниците на Срдсама, не можат нито да г завршат","Не е само што не имаат нитое да реализирам проект. От илјанниците кои бестрамни мгитува на градијаните, тука јо не е кои ги наследвие како започатите проекти во гранчалниците на Срда само, не можат нито да ги завршат."
Колкав поголем доказ од тоа е потребен на сите да им биде јасна неспособноста и некадарноста на ВМРО-ДПМНЕ.,"Колкав по голем доказ от тоа е потребен, на сите да им биде јасна неспособност и некадаростта на ВМ Роднопамене.",Колка в по голем докас от тоа е потребен на сите да им биде ясно на неспособността и некаданностт на Вома Родопамана,"Колка в поголем докас от тоа е потребен, на сите да им биди ясно неспособност и нека даноста на воно родопомање."
Зошто ја правам оваа споредба?,Зошто ја правам оваа споредба?,Зоште правам оваа споредба,Зошто е права ова споредба.
"Не само за да го потенцирам неработењето на градоначалниците од ВМРО-ДПМНЕ, туку да ја нагласам важноста на Министерството за локална самоуправа за локалните средини.","Не само за да го потенцирам неработењето на гранчалниците од ВМ Роднопамене, туку да ја нагласам важността на министерството за локална самуправа, за локалните средини.","Не само за да го потенцирам неработенето на Гранчалниц од Вома Родопамана, туку да ја нагласам важностт на министрство за локална самуправа, за локалнит средини","Не само за да го потенцирам не работањето на градончалниците од воно родопомање, туку да ја нагла самвађуста на мистарство за локална самупрова, за локалните средини."
"За разлика од Социјалдемократскиот Сојуз на Македонија, Мицковски и градоначалниците од ВМРО-ДПМНЕ се занимаваат само со тендери и провизии.","За разлика од СДСК на Македонија, митсковски гранчалници од ВМ Роднопамене се занимуваат само со тендери и провизии.","За разлика од Социал-демократскио сојест на Македонија, мицковски гранчалниц од Вома Родопамана се занимават само со тендер и провизии","За разлика со социално-мократскио сојес на Македонија, митсковски градончалниците од воно родопомање се занимават само со тендери и провизии."
"За само една година, градоначалниците од ВМРО-ДПМНЕ и Христијан Мицковски создадоа целосен хаос во општините, нефункционални јавни претпријатија, поскапи и понеквалитетни услуги за граѓаните, нема проекти, нема инвестиции, нема развој, нема поддршка на спортот и спортските клубови.","За само една година гранчалници од ВМ Роднопамене и Христо Митсковски создадуваат целостен хаос во обштините. Нефункционални јавни предприятија, по-скапи, по-неквалитетни услуги за граѓаните. Нема проекти, нема инвестиции, нема развој, нема поддршка на спортот и спортските клубови.","За само и на година гранчалници од Вом Родопамана и Христе Мицковски созадават целосте хаос во общините. Нефункционални и јавни предприятия по-скапи и по неквалитетни услуги за грегањите нема проекти, нема инвестиции, нема развој нема подршка на спортот и спортските клубови","За само и на година градончалниците од воно родопомање и Христиi митсковски со задават целостен хаос во общјивит. Нефункционални ијавни предпијатрија, поскапи и по неквалитетни услуги за градоните. Не има проекти, не има инвестици, не има разви, не има подршка на спортот и спорцките клубови."
"Каде што имаме градоначалници до ВМРО-ДПМНЕ, има само рацете во медот за тендери, кавги, расправии за влијание и провизии и ништо друго.","Кај што имаме гранчалници од ВМ Роднопамене, има само раците во Мирот за тендери, кавги, расправи за влијанија и провизии и ништо друго.","Кај што имаме гранчалници од Вома Родопамана, им само рацијите во мирот за тендери, кавги провизии и ништо друго","Кајшто имаме градончалниците од воно родопомање, има само рацијот во мерот за тендери, кавгии и расправи за влијани и провизии и нищо друго."
Тоа е резултатот на шпицниот градоначалник Мицковски.,Тој е резултатот на шпицениот гранчалник Митсковски.,Тој е резултатот на шпицен от гранчалник Мицковски,Тој е резултатот на шпицен од градончалник Митсковски.
Тој самиот се постави како шпицен градоначалник на сите градоначалници од ВМРО-ДПМНЕ.,Тој само се постави како шпицен гранчалник на сите гранчалници од ВМ Роднопамене.,Тој сам јо се постави како шпицен гранчалник на сите гранчалници од Вома Родопамана,Тој сам јо се постави као шпицен градончалник на сите градончалници од воно родопомање.
Катастрофа невидена.,Катастрофа невидена.,Катастрофа невидена,"Катастрофа, невидена."
"Почитувани граѓани, гледаме како ВМРО-ДПМНЕ менаџира преку градоначалниците.","Почетувани граѓани, гледаме како ВМ Роднопамене успешно менажира преку гранчалниците,","Почтувани грегани, гледаме како Вома Родопама не менеджира преко гранчалниците",Почитување градони. Глядаме како воно родопомање менеджира преко градончалниците.
Само поскапувања и удари по грбот на граѓаните.,само по скапувања и удари по грбот на граѓаните.,само по скапувања и удари по грбот на грегањите,Само по скапувања и удари по гработ на градоните.
"Од една страна трошат енормни пари за партиски вработувања, од друга кукаат дека немаат средства и ги зголемуваат цените и давачките на сите комунални и локални услуги.","Од една страна, троша тенорни пари за партијски вработувања, од друга, кукаат дека немаат средства и ги изголемуваат цените и давачките на сите комунални и локални услуги.","Од една страна трош тендерли пари за партијски вработувања, от друг кукаат дека нема средства и ги изголемуваат цениот на сите коммунални и локални услуги","Од една страна трошат тендорли пари за партицки вработувања, од другата кука, дека немаа средства и ги изголемува цейните и давачките на сите комунални и локални услуги."
"За разлика од нив, Владата на Социјалдемократскиот Сојуз на Македонија и претседателот Димитар Ковачевски успешно менаџираат со последиците од глобалната економска и енергетска криза.","За разлика од ниј, Владата на Социјал-демократскиот Совет на Македонија и председател Димит Раковачевски успешно менажираат со последците од глобалната економска и енергетска криза.","За разлика од нив, влајата на СДС на Македониј и председата од Диме Драковаћевски успешно менеджир со последните од глобалната економска и енергетска криза","За различни владата на социал-демократскиот сојист на Македонија и предсадата од Димир Драковаћевски, успешно менеджира со последствите од глобалната економовски енергетска криза."
"Дури во вакви услови, се грижи за пензионерите и продолжува да ги покачува пензиите.",Се грижи за пензионерите и продолжува да ги покачува пензиите.,Дури во вакви услови се грижи за пенсионерит и продолжува да ги покачува пенсиите,Дури во вакви услови се грижи за пензионерите и продължува да ги покачува пензијот.
Во првата половина од оваа година донесовме пакет од 26 анти-кризни мерки со вредност од 400 милиони евра помош за граѓаните и стопанството.,Во првата половина од оваа година донесовме пакет на 26 антикризни мерки со вредност од 400 милиони евра на помош за граѓаните и стопанството.,По прватата половина од оваа година донесовме пакет от 2 антикризни мерки вредност со вредност од 400 милион евро помош за грегањите и стопанството,"По првоата половина од ова година доресување пакет од 26 антикризни мерки вредност, со вредност от 400 млн евро, помощ за грагањето и стопанството."
Поднесе и нов пакет на мерки за помош вреден 350 милиони евра каде директно им се помага на над 200 илјади граѓани кои се со ниски примања.,"Понадеј се и нов пакет на мерки за помош вреден 350 милиони евра, каде директно им се помага на над 200 милиони граѓани кои се со низки примања.","Понесе и нов пакет на мерки за помош вреде од 400 милиони евро, каде директно им се помаг на над 200 лели градјани кои се сониски примања","Понде се индув пакет на мерки за помощ вреден 350 млн евро, каде директно им се помага на над 200 млн гражањењето, кои се сониски примање."
"Тоа значи дека за само неколку месеци одвоени 750 милиони евра за мерка за помош на граѓаните, што е околу 5% од бруто домашниот производ, што е најмногу како процент споредено со земјите од Западниот Балкан.","Тоа значи дека за само неколку месеци одвоени 750 милиони евра за мерка за помош на граѓаните, што е около 5% од бруто домашниот производ, што е најдолу како процент споредбено со земите од Западен Балкан.",Тоа значи дека за само неколку месешни одвојан 750 милиони евро за мерка за помош на грегањите што е около 5% од брутотомашниот производот што е набравка кои процент споредбено со земит од Западен Балкан,"Тоа значи да е ка за само некој месет си одвоени 750 млн евро за мерка за помощ на грагањето, што е околу пет отстол от бруто домашниот производ, што е наддолу како процент споредбено со земите во Западен Балкан."
"Значи, уште еднаш ќе повторам, ВМРО-ДПМНЕ и нивните градоначалници земаат од граѓаните, зголемуваат сметки и давачки, а СДСМ ги враќа парите назад кај граѓаните.","Значи, уште еднаш ке повторам. ВМРО ДПМ и ниндите граончалници заемаат од граѓаните, сголемуваат сметки и давачки, а срда сама ги враќа парите назад као граѓаните.","Значи, уште днешке повтонам в Маро Де Памане и ниндите градначалниц зајемаат од грегањите, сголемуваат сметк и давачки, а сърда саме ги врага парите наза кои грегањите","Значу, ште дешке повторно. Вомар оддопомене и нините гранчалници вземат од грагањите, сголемува сметки давачки, а срдва са ма гиврање парите назад во грагањите."
"ВМРО-ДПМНЕ ја отежнува ситуацијата на граѓаните, а СДСМ им помага.","ВМРО ДПМ ја утеждува ситуацијата на граѓаните, а срда сама им помага.","В Маро Де Памане отрежнува ситуацијата на грегањите, а сърда саме им помага","Вомар оддопомене и отешнува ситуацијата на грагањите, а срдва са ма им помага."
Појасно од ова не може и да биде.,Поясно од оваа не може и да биде.,Понесно од ова не беше и да биде,"Поясно доа не боже и да биде,"
Се гледа кој на чија страна е.,Се гледа кој на чија страна е.,Сегледа кој на чија страна е,"се гледа кој на чија страна е,"
"Кој е на страна на граѓаните, кој е на страна на криминалците.","Кој е на страна на граѓаните, кој е на страна на криминалците.","кој е на стран на грегањите, кој е на страна на криминалците","кој на страна на грагањите, кој на страна на криминалците."
